Indicador;Territorio;Año;Sexo;Grupo de edad;Nivel de estudios;Desempleo registrado
Desempleo registrado;Total ciudad;2023;Total;Total;Total;9.10646110195481
Desempleo registrado;la Seu + la Xerea + el Carme + el Pilar + el Mercat + Sant Francesc;2023;Total;Total;Total;6.44270593649333
Desempleo registrado;2.1 Russafa + el Pla del Remei + Gran Via;2023;Total;Total;Total;6.1183188175346
Desempleo registrado;el Botànic + la Roqueta + la Petxina + Arrancapins;2023;Total;Total;Total;7.48002673711685
Desempleo registrado;Campanar + les Tendetes + el Calvari + Sant Pau;2023;Total;Total;Total;7.62005020649445
Desempleo registrado;Marxalenes + Morvedre + Trinitat + Tormos + Sant Antoni;2023;Total;Total;Total;9.49443915882025
Desempleo registrado;Exposició + Mestalla + Jaume Roig + Ciutat Universitària;2023;Total;Total;Total;5.9197414489631
Desempleo registrado;Nou Moles + Soternes + Tres Forques + la Fontsanta + la Llum;2023;Total;Total;Total;10.3507271171942
Desempleo registrado;Patraix + Sant Isidre + Vara de Quart + el Safranar + Favara;2023;Total;Total;Total;8.75753604193971
Desempleo registrado;la Raiosa + l'Hort de Senabre + la Creu Coberta + Sant Marcel·lí + Camí Real;2023;Total;Total;Total;9.89175495163519
Desempleo registrado;Mont-Olivet + en Corts + Malilla + la Fonteta de Sant Lluís + na Rovella + la Punta + Ciutat de les Arts i de les Ciències;2023;Total;Total;Total;10.254255936306
Desempleo registrado;el Grau + el Cabanyal-el Canyamelar + la Malva-rosa + Beteró + Natzaret;2023;Total;Total;Total;12.5820480267956
Desempleo registrado;Aiora + Albors + la Creu del Grau + Camí Fondo + Penya-roja;2023;Total;Total;Total;8.55536488439306
Desempleo registrado;l'Illa Perduda + Ciutat Jardí + l'Amistat + la Bega Baixa + la Carrasca;2023;Total;Total;Total;8.35577135290223
Desempleo registrado;Benimaclet + Camí de Vera;2023;Total;Total;Total;8.1384573453257
Desempleo registrado;Orriols + Torrefiel + Sant Llorenç;2023;Total;Total;Total;10.4639684106614
Desempleo registrado;16.1 Benicalap + Ciutat Fallera;2023;Total;Total;Total;9.14758348250108
Desempleo registrado;Benifaraig + Poble Nou + Carpesa + Cases de Bàrcena + Mauella + Massarrojos + Borbotó ;2023;Total;Total;Total;6.68181818181818
Desempleo registrado;Benimàmet + Beniferri;2023;Total;Total;Total;10.5996924654024
Desempleo registrado;el Forn d'Alcedo + Castellar-l'Oliveral + Pinedo + el Saler + el Palmar + el Perellonet + la Torre + Faitanar;2023;Total;Total;Total;9.61745496303739
Desempleo registrado;la Seu;2023;Total;Total;Total;6.68804397617957
Desempleo registrado;la Xerea;2023;Total;Total;Total;6.06891151135474
Desempleo registrado;el Carme;2023;Total;Total;Total;7.26442507264425
Desempleo registrado;el Pilar;2023;Total;Total;Total;7.66360505166475
Desempleo registrado;el Mercat;2023;Total;Total;Total;5.84670231729055
Desempleo registrado;Sant Francesc;2023;Total;Total;Total;4.79396714247239
Desempleo registrado;2.1 Russafa;2023;Total;Total;Total;7.22191306498485
Desempleo registrado;el Pla del Remei;2023;Total;Total;Total;3.77178324182382
Desempleo registrado;Gran Via;2023;Total;Total;Total;5.00752496921604
Desempleo registrado;el Botànic;2023;Total;Total;Total;8.34454912516824
Desempleo registrado;la Roqueta;2023;Total;Total;Total;6.64596273291926
Desempleo registrado;la Petxina;2023;Total;Total;Total;7.59920008420166
Desempleo registrado;Arrancapins;2023;Total;Total;Total;7.31844360162944
Desempleo registrado;Campanar;2023;Total;Total;Total;8.65930128396536
