Indicador;Territorio;Año;Sexo;Grupo de edad;Nivel de estudios;Desempleo registrado de larga duracion
Desempleo registrado de larga duracion;Total ciudad;2023;Total;Total;Total;52.3440591481829
Desempleo registrado de larga duracion;la Seu + la Xerea + el Carme + el Pilar + el Mercat + Sant Francesc;2023;Total;Total;Total;47.1428571428572
Desempleo registrado de larga duracion;2.1 Russafa + el Pla del Remei + Gran Via;2023;Total;Total;Total;52.0378027170703
Desempleo registrado de larga duracion;el Botànic + la Roqueta + la Petxina + Arrancapins;2023;Total;Total;Total;50.3829787234043
Desempleo registrado de larga duracion;Campanar + les Tendetes + el Calvari + Sant Pau;2023;Total;Total;Total;48.2465462274176
Desempleo registrado de larga duracion;Marxalenes + Morvedre + Trinitat + Tormos + Sant Antoni;2023;Total;Total;Total;52.7643400138217
Desempleo registrado de larga duracion;Exposició + Mestalla + Jaume Roig + Ciutat Universitària;2023;Total;Total;Total;46.6787989080983
Desempleo registrado de larga duracion;Nou Moles + Soternes + Tres Forques + la Fontsanta + la Llum;2023;Total;Total;Total;50.4427390791027
Desempleo registrado de larga duracion;Patraix + Sant Isidre + Vara de Quart + el Safranar + Favara;2023;Total;Total;Total;53.5169111044597
Desempleo registrado de larga duracion;la Raiosa + l'Hort de Senabre + la Creu Coberta + Sant Marcel·lí + Camí Real;2023;Total;Total;Total;52.6775320139697
Desempleo registrado de larga duracion;Mont-Olivet + en Corts + Malilla + la Fonteta de Sant Lluís + na Rovella + la Punta + Ciutat de les Arts i de les Ciències;2023;Total;Total;Total;54.1747951619196
Desempleo registrado de larga duracion;el Grau + el Cabanyal-el Canyamelar + la Malva-rosa + Beteró + Natzaret;2023;Total;Total;Total;54.5513095749249
Desempleo registrado de larga duracion;Aiora + Albors + la Creu del Grau + Camí Fondo + Penya-roja;2023;Total;Total;Total;52.8107680126683
Desempleo registrado de larga duracion;l'Illa Perduda + Ciutat Jardí + l'Amistat + la Bega Baixa + la Carrasca;2023;Total;Total;Total;52.0866349709456
Desempleo registrado de larga duracion;Benimaclet + Camí de Vera;2023;Total;Total;Total;50.7032819825854
Desempleo registrado de larga duracion;Orriols + Torrefiel + Sant Llorenç;2023;Total;Total;Total;52.0440251572327
Desempleo registrado de larga duracion;16.1 Benicalap + Ciutat Fallera;2023;Total;Total;Total;53.8124156545209
Desempleo registrado de larga duracion;Benifaraig + Poble Nou + Carpesa + Cases de Bàrcena + Mauella + Massarrojos + Borbotó ;2023;Total;Total;Total;51.3605442176871
Desempleo registrado de larga duracion;Benimàmet + Beniferri;2023;Total;Total;Total;55.899419729207
Desempleo registrado de larga duracion;el Forn d'Alcedo + Castellar-l'Oliveral + Pinedo + el Saler + el Palmar + el Perellonet + la Torre + Faitanar;2023;Total;Total;Total;54.5522388059702
Desempleo registrado de larga duracion;la Seu;2023;Total;Total;Total;47.2602739726027
Desempleo registrado de larga duracion;la Xerea;2023;Total;Total;Total;45.8064516129032
Desempleo registrado de larga duracion;el Carme;2023;Total;Total;Total;47.7142857142857
Desempleo registrado de larga duracion;el Pilar;2023;Total;Total;Total;48.689138576779
Desempleo registrado de larga duracion;el Mercat;2023;Total;Total;Total;42.6829268292683
Desempleo registrado de larga duracion;Sant Francesc;2023;Total;Total;Total;49.438202247191
Desempleo registrado de larga duracion;2.1 Russafa;2023;Total;Total;Total;51.9691780821918
Desempleo registrado de larga duracion;el Pla del Remei;2023;Total;Total;Total;48.1012658227848
Desempleo registrado de larga duracion;Gran Via;2023;Total;Total;Total;54.0983606557377
Desempleo registrado de larga duracion;el Botànic;2023;Total;Total;Total;50.5376344086022
Desempleo registrado de larga duracion;la Roqueta;2023;Total;Total;Total;43.9252336448598
Desempleo registrado de larga duracion;la Petxina;2023;Total;Total;Total;51.8005540166205
Desempleo registrado de larga duracion;Arrancapins;2023;Total;Total;Total;50.7677543186181
Desempleo registrado de larga duracion;Campanar;2023;Total;Total;Total;50
Desempleo registrado de larga duracion;les Tendetes;2023;Total;Total;Total;47.5308641975309
Desempleo registrado de larga duracion;el Calvari;2023;Total;Total;Total;50.75
Desempleo registrado de larga duracion;Sant Pau;2023;Total;Total;Total;45.3287197231834
Desempleo registrado de larga duracion;Marxalenes;2023;Total;Total;Total;54.357459379616
Desempleo registrado de larga duracion;Morvedre;2023;Total;Total;Total;52.7272727272727
Desempleo registrado de larga duracion;Trinitat;2023;Total;Total;Total;53.6199095022624
Desempleo registrado de larga duracion;Tormos;2023;Total;Total;Total;52.6315789473684
Desempleo registrado de larga duracion;Sant Antoni;2023;Total;Total;Total;50.3690036900369
Desempleo registrado de larga duracion;Exposició;2023;Total;Total;Total;49.3506493506494
Desempleo registrado de larga duracion;Mestalla;2023;Total;Total;Total;46.7905405405405
Desempleo registrado de larga duracion;Jaume Roig;2023;Total;Total;Total;46.1538461538462
Desempleo registrado de larga duracion;Ciutat Universitària;2023;Total;Total;Total;40
Desempleo registrado de larga duracion;Nou Moles;2023;Total;Total;Total;50.3388786198398
Desempleo registrado de larga duracion;Soternes;2023;Total;Total;Total;51.1494252873563
Desempleo registrado de larga duracion;Tres Forques;2023;Total;Total;Total;48.4438430311231
Desempleo registrado de larga duracion;la Fontsanta;2023;Total;Total;Total;52.5
Desempleo registrado de larga duracion;la Llum;2023;Total;Total;Total;52.3510971786834
Desempleo registrado de larga duracion;Patraix;2023;Total;Total;Total;50.5714285714286
Desempleo registrado de larga duracion;Sant Isidre;2023;Total;Total;Total;54.7169811320755
Desempleo registrado de larga duracion;Vara de Quart;2023;Total;Total;Total;55.1724137931034
Desempleo registrado de larga duracion;el Safranar;2023;Total;Total;Total;58.5365853658537
Desempleo registrado de larga duracion;Favara;2023;Total;Total;Total;52.991452991453
Desempleo registrado de larga duracion;la Raiosa;2023;Total;Total;Total;49.9489274770174
Desempleo registrado de larga duracion;l'Hort de Senabre;2023;Total;Total;Total;52.9200359389039
Desempleo registrado de larga duracion;la Creu Coberta;2023;Total;Total;Total;54.066985645933
Desempleo registrado de larga duracion;Sant Marcel·lí;2023;Total;Total;Total;54.5994065281899
Desempleo registrado de larga duracion;Camí Real;2023;Total;Total;Total;54.3307086614173
Desempleo registrado de larga duracion;Mont-Olivet;2023;Total;Total;Total;53.8284839203675
Desempleo registrado de larga duracion;en Corts;2023;Total;Total;Total;53.8745387453875
Desempleo registrado de larga duracion;Malilla;2023;Total;Total;Total;53.9104024297646
Desempleo registrado de larga duracion;la Fonteta de Sant Lluís;2023;Total;Total;Total;53.75
