Indicador;Territorio;Año;Sexo;Grupo de edad;Nivel de estudios;Obesidad
Obesidad;Total ciudad;2024;Total;Total;Total;48.3000098347618
Obesidad;la Seu + la Xerea + el Carme + el Pilar + el Mercat + Sant Francesc;2024;Total;Total;Total;44.1441447221508
Obesidad;2.1 Russafa + el Pla del Remei + Gran Via;2024;Total;Total;Total;37.9032260937306
Obesidad;el Botànic + la Roqueta + la Petxina + Arrancapins;2024;Total;Total;Total;41.8032786704009
Obesidad;Campanar + les Tendetes + el Calvari + Sant Pau;2024;Total;Total;Total;41.3223139159948
Obesidad;Marxalenes + Morvedre + Trinitat + Tormos + Sant Antoni;2024;Total;Total;Total;53.7190080398175
Obesidad;Exposició + Mestalla + Jaume Roig + Ciutat Universitària;2024;Total;Total;Total;39.6039606832429
Obesidad;Nou Moles + Soternes + Tres Forques + la Fontsanta + la Llum;2024;Total;Total;Total;49.2063494643925
Obesidad;Patraix + Sant Isidre + Vara de Quart + el Safranar + Favara;2024;Total;Total;Total;56.4885496690194
Obesidad;la Raiosa + l'Hort de Senabre + la Creu Coberta + Sant Marcel·lí + Camí Real;2024;Total;Total;Total;44.961239927186
Obesidad;Mont-Olivet + en Corts + Malilla + la Fonteta de Sant Lluís + na Rovella + la Punta + Ciutat de les Arts i de les Ciències;2024;Total;Total;Total;49.6453899198132
Obesidad;el Grau + el Cabanyal-el Canyamelar + la Malva-rosa + Beteró + Natzaret;2024;Total;Total;Total;55.6451614606988
Obesidad;Aiora + Albors + la Creu del Grau + Camí Fondo + Penya-roja;2024;Total;Total;Total;47.445255682055
Obesidad;l'Illa Perduda + Ciutat Jardí + l'Amistat + la Bega Baixa + la Carrasca;2024;Total;Total;Total;43.8596487618693
Obesidad;Benimaclet + Camí de Vera;2024;Total;Total;Total;50.4424774013272
Obesidad;Orriols + Torrefiel + Sant Llorenç;2024;Total;Total;Total;52.7131788002483
Obesidad;16.1 Benicalap + Ciutat Fallera;2024;Total;Total;Total;55.9055114370615
Obesidad;Benifaraig + Poble Nou + Carpesa + Cases de Bàrcena + Mauella + Massarrojos + Borbotó ;2024;Total;Total;Total;33.3333353046595
Obesidad;Benimàmet + Beniferri;2024;Total;Total;Total;44.6808512860818
Obesidad;el Forn d'Alcedo + Castellar-l'Oliveral + Pinedo + el Saler + el Palmar + el Perellonet + la Torre + Faitanar;2024;Total;Total;Total;48.4210530787009
Obesidad;Total ciudad;2024;Hombre;Total;Total;55.0534354958077
Obesidad;la Seu + la Xerea + el Carme + el Pilar + el Mercat + Sant Francesc;2024;Hombre;Total;Total;58.8235291130703
Obesidad;2.1 Russafa + el Pla del Remei + Gran Via;2024;Hombre;Total;Total;51.7857133466833
Obesidad;el Botànic + la Roqueta + la Petxina + Arrancapins;2024;Hombre;Total;Total;50.8771932592118
Obesidad;Campanar + les Tendetes + el Calvari + Sant Pau;2024;Hombre;Total;Total;52.7272731583296
Obesidad;Marxalenes + Morvedre + Trinitat + Tormos + Sant Antoni;2024;Hombre;Total;Total;53.5714283383623
Obesidad;Exposició + Mestalla + Jaume Roig + Ciutat Universitària;2024;Hombre;Total;Total;51.1111117687454
Obesidad;Nou Moles + Soternes + Tres Forques + la Fontsanta + la Llum;2024;Hombre;Total;Total;56.6666674582985
Obesidad;Patraix + Sant Isidre + Vara de Quart + el Safranar + Favara;2024;Hombre;Total;Total;69.9999997363509
Obesidad;la Raiosa + l'Hort de Senabre + la Creu Coberta + Sant Marcel·lí + Camí Real;2024;Hombre;Total;Total;52.3809529588841
Obesidad;Mont-Olivet + en Corts + Malilla + la Fonteta de Sant Lluís + na Rovella + la Punta + Ciutat de les Arts i de les Ciències;2024;Hombre;Total;Total;49.2063494081931
Obesidad;el Grau + el Cabanyal-el Canyamelar + la Malva-rosa + Beteró + Natzaret;2024;Hombre;Total;Total;64.4067799902674
Obesidad;Aiora + Albors + la Creu del Grau + Camí Fondo + Penya-roja;2024;Hombre;Total;Total;53.0303032711329
Obesidad;l'Illa Perduda + Ciutat Jardí + l'Amistat + la Bega Baixa + la Carrasca;2024;Hombre;Total;Total;52.7272728380341
Obesidad;Benimaclet + Camí de Vera;2024;Hombre;Total;Total;47.1698118003602
Obesidad;Orriols + Torrefiel + Sant Llorenç;2024;Hombre;Total;Total;58.7301592227221
Obesidad;16.1 Benicalap + Ciutat Fallera;2024;Hombre;Total;Total;59.0163938166933
Obesidad;Benifaraig + Poble Nou + Carpesa + Cases de Bàrcena + Mauella + Massarrojos + Borbotó ;2024;Hombre;Total;Total;22.4999931139102
Obesidad;Benimàmet + Beniferri;2024;Hombre;Total;Total;46.9387751012456
Obesidad;el Forn d'Alcedo + Castellar-l'Oliveral + Pinedo + el Saler + el Palmar + el Perellonet + la Torre + Faitanar;2024;Hombre;Total;Total;54.3478262527852
Obesidad;Total ciudad;2024;Mujer;Total;Total;42.3089509933474
Obesidad;la Seu + la Xerea + el Carme + el Pilar + el Mercat + Sant Francesc;2024;Mujer;Total;Total;31.6666655156977
Obesidad;2.1 Russafa + el Pla del Remei + Gran Via;2024;Mujer;Total;Total;26.4705874710724
Obesidad;el Botànic + la Roqueta + la Petxina + Arrancapins;2024;Mujer;Total;Total;33.8461535482011
Obesidad;Campanar + les Tendetes + el Calvari + Sant Pau;2024;Mujer;Total;Total;31.8181821175268
Obesidad;Marxalenes + Morvedre + Trinitat + Tormos + Sant Antoni;2024;Mujer;Total;Total;53.8461536299124
Obesidad;Exposició + Mestalla + Jaume Roig + Ciutat Universitària;2024;Mujer;Total;Total;30.3571442584953
Obesidad;Nou Moles + Soternes + Tres Forques + la Fontsanta + la Llum;2024;Mujer;Total;Total;42.424242751363
Obesidad;Patraix + Sant Isidre + Vara de Quart + el Safranar + Favara;2024;Mujer;Total;Total;45.0704228176364
Obesidad;la Raiosa + l'Hort de Senabre + la Creu Coberta + Sant Marcel·lí + Camí Real;2024;Mujer;Total;Total;37.8787877617687
