Indicador;Territorio;Año;Sexo;Grupo de edad;Nivel de estudios;Grado de apoyo social
Grado de apoyo social;Total ciudad;2024;Total;Total;Total;4.414
Grado de apoyo social;la Seu + la Xerea + el Carme + el Pilar + el Mercat + Sant Francesc;2024;Total;Total;Total;4.9735
Grado de apoyo social;2.1 Russafa + el Pla del Remei + Gran Via;2024;Total;Total;Total;4.9206
Grado de apoyo social;el Botànic + la Roqueta + la Petxina + Arrancapins;2024;Total;Total;Total;4.687
Grado de apoyo social;Campanar + les Tendetes + el Calvari + Sant Pau;2024;Total;Total;Total;4.3419
Grado de apoyo social;Marxalenes + Morvedre + Trinitat + Tormos + Sant Antoni;2024;Total;Total;Total;1.6693
Grado de apoyo social;Exposició + Mestalla + Jaume Roig + Ciutat Universitària;2024;Total;Total;Total;7.4103
Grado de apoyo social;Nou Moles + Soternes + Tres Forques + la Fontsanta + la Llum;2024;Total;Total;Total;3.8615
Grado de apoyo social;Patraix + Sant Isidre + Vara de Quart + el Safranar + Favara;2024;Total;Total;Total;6
Grado de apoyo social;la Raiosa + l'Hort de Senabre + la Creu Coberta + Sant Marcel·lí + Camí Real;2024;Total;Total;Total;4.2707
Grado de apoyo social;Mont-Olivet + en Corts + Malilla + la Fonteta de Sant Lluís + na Rovella + la Punta + Ciutat de les Arts i de les Ciències;2024;Total;Total;Total;4.5102
Grado de apoyo social;el Grau + el Cabanyal-el Canyamelar + la Malva-rosa + Beteró + Natzaret;2024;Total;Total;Total;3.8855
Grado de apoyo social;Aiora + Albors + la Creu del Grau + Camí Fondo + Penya-roja;2024;Total;Total;Total;3.8357
Grado de apoyo social;l'Illa Perduda + Ciutat Jardí + l'Amistat + la Bega Baixa + la Carrasca;2024;Total;Total;Total;5.7966
Grado de apoyo social;Benimaclet + Camí de Vera;2024;Total;Total;Total;4.2281
Grado de apoyo social;Orriols + Torrefiel + Sant Llorenç;2024;Total;Total;Total;6.4048
Grado de apoyo social;16.1 Benicalap + Ciutat Fallera;2024;Total;Total;Total;1.6172
Grado de apoyo social;Benifaraig + Poble Nou + Carpesa + Cases de Bàrcena + Mauella + Massarrojos + Borbotó ;2024;Total;Total;Total;3.5761
Grado de apoyo social;Benimàmet + Beniferri;2024;Total;Total;Total;3.4327
Grado de apoyo social;el Forn d'Alcedo + Castellar-l'Oliveral + Pinedo + el Saler + el Palmar + el Perellonet + la Torre + Faitanar;2024;Total;Total;Total;4.3964
Grado de apoyo social;Total ciudad;2024;Hombre;Total;Total;4.4262
Grado de apoyo social;la Seu + la Xerea + el Carme + el Pilar + el Mercat + Sant Francesc;2024;Hombre;Total;Total;5.3208
Grado de apoyo social;2.1 Russafa + el Pla del Remei + Gran Via;2024;Hombre;Total;Total;4.6667
Grado de apoyo social;el Botànic + la Roqueta + la Petxina + Arrancapins;2024;Hombre;Total;Total;4.7333
Grado de apoyo social;Campanar + les Tendetes + el Calvari + Sant Pau;2024;Hombre;Total;Total;4.6364
Grado de apoyo social;Marxalenes + Morvedre + Trinitat + Tormos + Sant Antoni;2024;Hombre;Total;Total;1.5088
Grado de apoyo social;Exposició + Mestalla + Jaume Roig + Ciutat Universitària;2024;Hombre;Total;Total;7.3585
Grado de apoyo social;Nou Moles + Soternes + Tres Forques + la Fontsanta + la Llum;2024;Hombre;Total;Total;3.8167
Grado de apoyo social;Patraix + Sant Isidre + Vara de Quart + el Safranar + Favara;2024;Hombre;Total;Total;6.0317
Grado de apoyo social;la Raiosa + l'Hort de Senabre + la Creu Coberta + Sant Marcel·lí + Camí Real;2024;Hombre;Total;Total;4.4444
Grado de apoyo social;Mont-Olivet + en Corts + Malilla + la Fonteta de Sant Lluís + na Rovella + la Punta + Ciutat de les Arts i de les Ciències;2024;Hombre;Total;Total;4.5942
Grado de apoyo social;el Grau + el Cabanyal-el Canyamelar + la Malva-rosa + Beteró + Natzaret;2024;Hombre;Total;Total;4.0161
Grado de apoyo social;Aiora + Albors + la Creu del Grau + Camí Fondo + Penya-roja;2024;Hombre;Total;Total;4.1061
Grado de apoyo social;l'Illa Perduda + Ciutat Jardí + l'Amistat + la Bega Baixa + la Carrasca;2024;Hombre;Total;Total;5.1481
Grado de apoyo social;Benimaclet + Camí de Vera;2024;Hombre;Total;Total;4.4151
Grado de apoyo social;Orriols + Torrefiel + Sant Llorenç;2024;Hombre;Total;Total;6.2034
Grado de apoyo social;16.1 Benicalap + Ciutat Fallera;2024;Hombre;Total;Total;1.4754
Grado de apoyo social;Benifaraig + Poble Nou + Carpesa + Cases de Bàrcena + Mauella + Massarrojos + Borbotó ;2024;Hombre;Total;Total;3.5
Grado de apoyo social;Benimàmet + Beniferri;2024;Hombre;Total;Total;3.5714
Grado de apoyo social;el Forn d'Alcedo + Castellar-l'Oliveral + Pinedo + el Saler + el Palmar + el Perellonet + la Torre + Faitanar;2024;Hombre;Total;Total;4.5
Grado de apoyo social;Total ciudad;2024;Mujer;Total;Total;4.4035
Grado de apoyo social;la Seu + la Xerea + el Carme + el Pilar + el Mercat + Sant Francesc;2024;Mujer;Total;Total;4.6667
Grado de apoyo social;2.1 Russafa + el Pla del Remei + Gran Via;2024;Mujer;Total;Total;5.1304
Grado de apoyo social;el Botànic + la Roqueta + la Petxina + Arrancapins;2024;Mujer;Total;Total;4.6479
Grado de apoyo social;Campanar + les Tendetes + el Calvari + Sant Pau;2024;Mujer;Total;Total;4.0806
Grado de apoyo social;Marxalenes + Morvedre + Trinitat + Tormos + Sant Antoni;2024;Mujer;Total;Total;1.8
Grado de apoyo social;Exposició + Mestalla + Jaume Roig + Ciutat Universitària;2024;Mujer;Total;Total;7.4531
Grado de apoyo social;Nou Moles + Soternes + Tres Forques + la Fontsanta + la Llum;2024;Mujer;Total;Total;3.9
Grado de apoyo social;Patraix + Sant Isidre + Vara de Quart + el Safranar + Favara;2024;Mujer;Total;Total;5.9726
Grado de apoyo social;la Raiosa + l'Hort de Senabre + la Creu Coberta + Sant Marcel·lí + Camí Real;2024;Mujer;Total;Total;4.1143
Grado de apoyo social;Mont-Olivet + en Corts + Malilla + la Fonteta de Sant Lluís + na Rovella + la Punta + Ciutat de les Arts i de les Ciències;2024;Mujer;Total;Total;4.4359
Grado de apoyo social;el Grau + el Cabanyal-el Canyamelar + la Malva-rosa + Beteró + Natzaret;2024;Mujer;Total;Total;3.7681
Grado de apoyo social;Aiora + Albors + la Creu del Grau + Camí Fondo + Penya-roja;2024;Mujer;Total;Total;3.5946
Grado de apoyo social;l'Illa Perduda + Ciutat Jardí + l'Amistat + la Bega Baixa + la Carrasca;2024;Mujer;Total;Total;6.3438
Grado de apoyo social;Benimaclet + Camí de Vera;2024;Mujer;Total;Total;4.0656
Grado de apoyo social;Orriols + Torrefiel + Sant Llorenç;2024;Mujer;Total;Total;6.5821
Grado de apoyo social;16.1 Benicalap + Ciutat Fallera;2024;Mujer;Total;Total;1.7463
Grado de apoyo social;Benifaraig + Poble Nou + Carpesa + Cases de Bàrcena + Mauella + Massarrojos + Borbotó ;2024;Mujer;Total;Total;3.6458
Grado de apoyo social;Benimàmet + Beniferri;2024;Mujer;Total;Total;3.3091
Grado de apoyo social;el Forn d'Alcedo + Castellar-l'Oliveral + Pinedo + el Saler + el Palmar + el Perellonet + la Torre + Faitanar;2024;Mujer;Total;Total;4.2982
Grado de apoyo social;Total ciudad;2024;Total;18-34;Total;4.6316
Grado de apoyo social;la Seu + la Xerea + el Carme + el Pilar + el Mercat + Sant Francesc;2024;Total;18-34;Total;4.9118
Grado de apoyo social;2.1 Russafa + el Pla del Remei + Gran Via;2024;Total;18-34;Total;5.2414
Grado de apoyo social;el Botànic + la Roqueta + la Petxina + Arrancapins;2024;Total;18-34;Total;4.9333
