Indicador;Territorio;Año;Sexo;Grupo de edad;Nivel de estudios;Salud autopercibida
Salud autopercibida;Total ciudad;2024;Total;Total;Total;17.4271137038608
Salud autopercibida;la Seu + la Xerea + el Carme + el Pilar + el Mercat + Sant Francesc;2024;Total;Total;Total;1.80180144448858
Salud autopercibida;2.1 Russafa + el Pla del Remei + Gran Via;2024;Total;Total;Total;10.4838711145734
Salud autopercibida;el Botànic + la Roqueta + la Petxina + Arrancapins;2024;Total;Total;Total;16.1538457601228
Salud autopercibida;Campanar + les Tendetes + el Calvari + Sant Pau;2024;Total;Total;Total;10.655737631912
Salud autopercibida;Marxalenes + Morvedre + Trinitat + Tormos + Sant Antoni;2024;Total;Total;Total;23.4374999219319
Salud autopercibida;Exposició + Mestalla + Jaume Roig + Ciutat Universitària;2024;Total;Total;Total;6.03448298624641
Salud autopercibida;Nou Moles + Soternes + Tres Forques + la Fontsanta + la Llum;2024;Total;Total;Total;19.230769336164
Salud autopercibida;Patraix + Sant Isidre + Vara de Quart + el Safranar + Favara;2024;Total;Total;Total;16.9117649111455
Salud autopercibida;la Raiosa + l'Hort de Senabre + la Creu Coberta + Sant Marcel·lí + Camí Real;2024;Total;Total;Total;18.1818182403278
Salud autopercibida;Mont-Olivet + en Corts + Malilla + la Fonteta de Sant Lluís + na Rovella + la Punta + Ciutat de les Arts i de les Ciències;2024;Total;Total;Total;19.5945943324805
Salud autopercibida;el Grau + el Cabanyal-el Canyamelar + la Malva-rosa + Beteró + Natzaret;2024;Total;Total;Total;17.9104475788243
Salud autopercibida;Aiora + Albors + la Creu del Grau + Camí Fondo + Penya-roja;2024;Total;Total;Total;24.475524501175
Salud autopercibida;l'Illa Perduda + Ciutat Jardí + l'Amistat + la Bega Baixa + la Carrasca;2024;Total;Total;Total;19.0082645924893
Salud autopercibida;Benimaclet + Camí de Vera;2024;Total;Total;Total;18.4210529114706
Salud autopercibida;Orriols + Torrefiel + Sant Llorenç;2024;Total;Total;Total;14.3939393744262
Salud autopercibida;16.1 Benicalap + Ciutat Fallera;2024;Total;Total;Total;22.4806198204637
Salud autopercibida;Benifaraig + Poble Nou + Carpesa + Cases de Bàrcena + Mauella + Massarrojos + Borbotó ;2024;Total;Total;Total;27.6595745765125
Salud autopercibida;Benimàmet + Beniferri;2024;Total;Total;Total;22.1153847742549
Salud autopercibida;el Forn d'Alcedo + Castellar-l'Oliveral + Pinedo + el Saler + el Palmar + el Perellonet + la Torre + Faitanar;2024;Total;Total;Total;21.1009167962116
Salud autopercibida;Total ciudad;2024;Hombre;Total;Total;14.0522405059695
Salud autopercibida;la Seu + la Xerea + el Carme + el Pilar + el Mercat + Sant Francesc;2024;Hombre;Total;Total;1.96078391546634
Salud autopercibida;2.1 Russafa + el Pla del Remei + Gran Via;2024;Hombre;Total;Total;8.92857214849517
Salud autopercibida;el Botànic + la Roqueta + la Petxina + Arrancapins;2024;Hombre;Total;Total;10.1694917320722
Salud autopercibida;Campanar + les Tendetes + el Calvari + Sant Pau;2024;Hombre;Total;Total;7.14285644985813
Salud autopercibida;Marxalenes + Morvedre + Trinitat + Tormos + Sant Antoni;2024;Hombre;Total;Total;18.965516345141
Salud autopercibida;Exposició + Mestalla + Jaume Roig + Ciutat Universitària;2024;Hombre;Total;Total;1.8867935432295
Salud autopercibida;Nou Moles + Soternes + Tres Forques + la Fontsanta + la Llum;2024;Hombre;Total;Total;18.032786933114
Salud autopercibida;Patraix + Sant Isidre + Vara de Quart + el Safranar + Favara;2024;Hombre;Total;Total;14.2857139270081
Salud autopercibida;la Raiosa + l'Hort de Senabre + la Creu Coberta + Sant Marcel·lí + Camí Real;2024;Hombre;Total;Total;15.8730163439232
Salud autopercibida;Mont-Olivet + en Corts + Malilla + la Fonteta de Sant Lluís + na Rovella + la Punta + Ciutat de les Arts i de les Ciències;2024;Hombre;Total;Total;17.3913048105598
Salud autopercibida;el Grau + el Cabanyal-el Canyamelar + la Malva-rosa + Beteró + Natzaret;2024;Hombre;Total;Total;11.1111113998793
Salud autopercibida;Aiora + Albors + la Creu del Grau + Camí Fondo + Penya-roja;2024;Hombre;Total;Total;20.8955216702835
Salud autopercibida;l'Illa Perduda + Ciutat Jardí + l'Amistat + la Bega Baixa + la Carrasca;2024;Hombre;Total;Total;8.77193034018666
Salud autopercibida;Benimaclet + Camí de Vera;2024;Hombre;Total;Total;15.0943387593517
Salud autopercibida;Orriols + Torrefiel + Sant Llorenç;2024;Hombre;Total;Total;9.37499970947503
Salud autopercibida;16.1 Benicalap + Ciutat Fallera;2024;Hombre;Total;Total;21.3114752352699
Salud autopercibida;Benifaraig + Poble Nou + Carpesa + Cases de Bàrcena + Mauella + Massarrojos + Borbotó ;2024;Hombre;Total;Total;15.5555529534046
Salud autopercibida;Benimàmet + Beniferri;2024;Hombre;Total;Total;22.4489809209517
Salud autopercibida;el Forn d'Alcedo + Castellar-l'Oliveral + Pinedo + el Saler + el Palmar + el Perellonet + la Torre + Faitanar;2024;Hombre;Total;Total;24.5283006376166
Salud autopercibida;Total ciudad;2024;Mujer;Total;Total;20.3798026495803
Salud autopercibida;la Seu + la Xerea + el Carme + el Pilar + el Mercat + Sant Francesc;2024;Mujer;Total;Total;1.66666634295665
Salud autopercibida;2.1 Russafa + el Pla del Remei + Gran Via;2024;Mujer;Total;Total;11.7647055426988
Salud autopercibida;el Botànic + la Roqueta + la Petxina + Arrancapins;2024;Mujer;Total;Total;21.126759921237
Salud autopercibida;Campanar + les Tendetes + el Calvari + Sant Pau;2024;Mujer;Total;Total;13.6363640105449
Salud autopercibida;Marxalenes + Morvedre + Trinitat + Tormos + Sant Antoni;2024;Mujer;Total;Total;27.1428570309853
Salud autopercibida;Exposició + Mestalla + Jaume Roig + Ciutat Universitària;2024;Mujer;Total;Total;9.52381093302586
Salud autopercibida;Nou Moles + Soternes + Tres Forques + la Fontsanta + la Llum;2024;Mujer;Total;Total;20.2898549789345
Salud autopercibida;Patraix + Sant Isidre + Vara de Quart + el Safranar + Favara;2024;Mujer;Total;Total;19.1780821472539
Salud autopercibida;la Raiosa + l'Hort de Senabre + la Creu Coberta + Sant Marcel·lí + Camí Real;2024;Mujer;Total;Total;20.2898557148529
Salud autopercibida;Mont-Olivet + en Corts + Malilla + la Fonteta de Sant Lluís + na Rovella + la Punta + Ciutat de les Arts i de les Ciències;2024;Mujer;Total;Total;21.5189871385296
Salud autopercibida;el Grau + el Cabanyal-el Canyamelar + la Malva-rosa + Beteró + Natzaret;2024;Mujer;Total;Total;23.9436614034314
