Indicador;Territorio;Año;Sexo;Grupo de edad;Nivel de estudios;Salud mental
Salud mental;Total ciudad;2024;Total;Total;Total;6.5168
Salud mental;la Seu + la Xerea + el Carme + el Pilar + el Mercat + Sant Francesc;2024;Total;Total;Total;8.6689
Salud mental;2.1 Russafa + el Pla del Remei + Gran Via;2024;Total;Total;Total;7.7823
Salud mental;el Botànic + la Roqueta + la Petxina + Arrancapins;2024;Total;Total;Total;6.5263
Salud mental;Campanar + les Tendetes + el Calvari + Sant Pau;2024;Total;Total;Total;7.0943
Salud mental;Marxalenes + Morvedre + Trinitat + Tormos + Sant Antoni;2024;Total;Total;Total;6.3691
Salud mental;Exposició + Mestalla + Jaume Roig + Ciutat Universitària;2024;Total;Total;Total;7.1774
Salud mental;Nou Moles + Soternes + Tres Forques + la Fontsanta + la Llum;2024;Total;Total;Total;6.5423
Salud mental;Patraix + Sant Isidre + Vara de Quart + el Safranar + Favara;2024;Total;Total;Total;6.3162
Salud mental;la Raiosa + l'Hort de Senabre + la Creu Coberta + Sant Marcel·lí + Camí Real;2024;Total;Total;Total;6.4394
Salud mental;Mont-Olivet + en Corts + Malilla + la Fonteta de Sant Lluís + na Rovella + la Punta + Ciutat de les Arts i de les Ciències;2024;Total;Total;Total;6.4443
Salud mental;el Grau + el Cabanyal-el Canyamelar + la Malva-rosa + Beteró + Natzaret;2024;Total;Total;Total;5.7593
Salud mental;Aiora + Albors + la Creu del Grau + Camí Fondo + Penya-roja;2024;Total;Total;Total;6.9371
Salud mental;l'Illa Perduda + Ciutat Jardí + l'Amistat + la Bega Baixa + la Carrasca;2024;Total;Total;Total;6.4897
Salud mental;Benimaclet + Camí de Vera;2024;Total;Total;Total;5.6003
Salud mental;Orriols + Torrefiel + Sant Llorenç;2024;Total;Total;Total;5.4716
Salud mental;16.1 Benicalap + Ciutat Fallera;2024;Total;Total;Total;5.9935
Salud mental;Benifaraig + Poble Nou + Carpesa + Cases de Bàrcena + Mauella + Massarrojos + Borbotó ;2024;Total;Total;Total;6.9415
Salud mental;Benimàmet + Beniferri;2024;Total;Total;Total;6.1955
Salud mental;el Forn d'Alcedo + Castellar-l'Oliveral + Pinedo + el Saler + el Palmar + el Perellonet + la Torre + Faitanar;2024;Total;Total;Total;6.1216
Salud mental;Total ciudad;2024;Hombre;Total;Total;6.7457
Salud mental;la Seu + la Xerea + el Carme + el Pilar + el Mercat + Sant Francesc;2024;Hombre;Total;Total;8.6961
Salud mental;2.1 Russafa + el Pla del Remei + Gran Via;2024;Hombre;Total;Total;7.9062
Salud mental;el Botànic + la Roqueta + la Petxina + Arrancapins;2024;Hombre;Total;Total;6.5847
Salud mental;Campanar + les Tendetes + el Calvari + Sant Pau;2024;Hombre;Total;Total;7.4018
Salud mental;Marxalenes + Morvedre + Trinitat + Tormos + Sant Antoni;2024;Hombre;Total;Total;6.6552
Salud mental;Exposició + Mestalla + Jaume Roig + Ciutat Universitària;2024;Hombre;Total;Total;7.3239
Salud mental;Nou Moles + Soternes + Tres Forques + la Fontsanta + la Llum;2024;Hombre;Total;Total;6.6107
Salud mental;Patraix + Sant Isidre + Vara de Quart + el Safranar + Favara;2024;Hombre;Total;Total;6.5913
Salud mental;la Raiosa + l'Hort de Senabre + la Creu Coberta + Sant Marcel·lí + Camí Real;2024;Hombre;Total;Total;6.6667
Salud mental;Mont-Olivet + en Corts + Malilla + la Fonteta de Sant Lluís + na Rovella + la Punta + Ciutat de les Arts i de les Ciències;2024;Hombre;Total;Total;6.5761
Salud mental;el Grau + el Cabanyal-el Canyamelar + la Malva-rosa + Beteró + Natzaret;2024;Hombre;Total;Total;6.0119
Salud mental;Aiora + Albors + la Creu del Grau + Camí Fondo + Penya-roja;2024;Hombre;Total;Total;7.0709
Salud mental;l'Illa Perduda + Ciutat Jardí + l'Amistat + la Bega Baixa + la Carrasca;2024;Hombre;Total;Total;6.8114
Salud mental;Benimaclet + Camí de Vera;2024;Hombre;Total;Total;5.8742
Salud mental;Orriols + Torrefiel + Sant Llorenç;2024;Hombre;Total;Total;5.8828
Salud mental;16.1 Benicalap + Ciutat Fallera;2024;Hombre;Total;Total;6.5724
Salud mental;Benifaraig + Poble Nou + Carpesa + Cases de Bàrcena + Mauella + Massarrojos + Borbotó ;2024;Hombre;Total;Total;7.5389
Salud mental;Benimàmet + Beniferri;2024;Hombre;Total;Total;6.6684
Salud mental;el Forn d'Alcedo + Castellar-l'Oliveral + Pinedo + el Saler + el Palmar + el Perellonet + la Torre + Faitanar;2024;Hombre;Total;Total;6.4198
Salud mental;Total ciudad;2024;Mujer;Total;Total;6.3165
Salud mental;la Seu + la Xerea + el Carme + el Pilar + el Mercat + Sant Francesc;2024;Mujer;Total;Total;8.6458
Salud mental;2.1 Russafa + el Pla del Remei + Gran Via;2024;Mujer;Total;Total;7.6801
Salud mental;el Botànic + la Roqueta + la Petxina + Arrancapins;2024;Mujer;Total;Total;6.4777
Salud mental;Campanar + les Tendetes + el Calvari + Sant Pau;2024;Mujer;Total;Total;6.8333
Salud mental;Marxalenes + Morvedre + Trinitat + Tormos + Sant Antoni;2024;Mujer;Total;Total;6.1321
Salud mental;Exposició + Mestalla + Jaume Roig + Ciutat Universitària;2024;Mujer;Total;Total;7.0542
Salud mental;Nou Moles + Soternes + Tres Forques + la Fontsanta + la Llum;2024;Mujer;Total;Total;6.4819
Salud mental;Patraix + Sant Isidre + Vara de Quart + el Safranar + Favara;2024;Mujer;Total;Total;6.0788
Salud mental;la Raiosa + l'Hort de Senabre + la Creu Coberta + Sant Marcel·lí + Camí Real;2024;Mujer;Total;Total;6.2319
Salud mental;Mont-Olivet + en Corts + Malilla + la Fonteta de Sant Lluís + na Rovella + la Punta + Ciutat de les Arts i de les Ciències;2024;Mujer;Total;Total;6.3291
Salud mental;el Grau + el Cabanyal-el Canyamelar + la Malva-rosa + Beteró + Natzaret;2024;Mujer;Total;Total;5.5352
Salud mental;Aiora + Albors + la Creu del Grau + Camí Fondo + Penya-roja;2024;Mujer;Total;Total;6.8191
Salud mental;l'Illa Perduda + Ciutat Jardí + l'Amistat + la Bega Baixa + la Carrasca;2024;Mujer;Total;Total;6.2031
Salud mental;Benimaclet + Camí de Vera;2024;Mujer;Total;Total;5.3583
Salud mental;Orriols + Torrefiel + Sant Llorenç;2024;Mujer;Total;Total;5.0846
Salud mental;16.1 Benicalap + Ciutat Fallera;2024;Mujer;Total;Total;5.4743
Salud mental;Benifaraig + Poble Nou + Carpesa + Cases de Bàrcena + Mauella + Massarrojos + Borbotó ;2024;Mujer;Total;Total;6.3929
Salud mental;Benimàmet + Beniferri;2024;Mujer;Total;Total;5.7742
Salud mental;el Forn d'Alcedo + Castellar-l'Oliveral + Pinedo + el Saler + el Palmar + el Perellonet + la Torre + Faitanar;2024;Mujer;Total;Total;5.8393
Salud mental;Total ciudad;2024;Total;18-34;Total;6.5673
Salud mental;la Seu + la Xerea + el Carme + el Pilar + el Mercat + Sant Francesc;2024;Total;18-34;Total;8.8716
Salud mental;2.1 Russafa + el Pla del Remei + Gran Via;2024;Total;18-34;Total;8.0179
Salud mental;el Botànic + la Roqueta + la Petxina + Arrancapins;2024;Total;18-34;Total;6.7328
Salud mental;Campanar + les Tendetes + el Calvari + Sant Pau;2024;Total;18-34;Total;6.7083
Salud mental;Marxalenes + Morvedre + Trinitat + Tormos + Sant Antoni;2024;Total;18-34;Total;6.8359
Salud mental;Exposició + Mestalla + Jaume Roig + Ciutat Universitària;2024;Total;18-34;Total;7.1474
